stopword removal,Score,Sentiment
amerika bangsa teroris pencudang perampok amerika penjahat genosida teroris,0,Netral
mengikuti aturan amerika teroris penyembah patung bangsa penjahat kafir amerika penjahat,0,Netral
amerika israel penjahat selat hormuz milik laut iran islam persia,2,Positif
amerika israel terois genosida penjahat dunia adlah bangsa amerika israel teroris genosida,0,Netral
tutup permanen biar negara bersekutu amerika israel merasakan akibat,-1,Negatif
intinya dunia amanamerika hapuskan peta duniasoal israil keos,0,Netral
perang dukungan negara olah olah iran musuh negara presiden doyan perang,-1,Negatif
iran hentikan nuklir produksi nuklir iran tuntutan amirika hancur iran serang hancurkan amerika,-1,Negatif
hancurkan amerika tembak kapalas,-1,Negatif
allah jahanam tentera israil negara,0,Netral
china takut ancaman amerika serikat,-1,Negatif
tipu daya amerika penipu amerika terlebeh angkat kaki iran angkat kaki tanah air minyak milik jranjangan tentera amerika mendarat allahu akbar allahu akbar allahuakbar,1,Positif
dunia isi pngghuninya prikmanusiaanbangunlah belalah brada posisi bnar dijangan takut mati dmi pradaban kmanusiaan,0,Netral
dasar iblis trlau mnghayal,-1,Negatif
maudamai donald bebek pembohong dunia negara islam tunduk donald bebek donald bebek pembohong,-1,Negatif
isreal anjing,-1,Negatif
lenyaplah penjajah israel amerika daratan pentagon berjihad memusnahkan penjajah biadab,-1,Negatif
donald tahi,-1,Negatif
donald tahi,-1,Negatif
tembak degal hantar rokit drom puluh drom,-1,Negatif
perundingan amerika curangnya,0,Netral
sikat israel usir palestina,-1,Negatif
amerika produksi an,0,Netral
menyala iran pertahankan kedaulatan negara cina takut amerika terimakasih cina rusia korut,2,Positif
donald trump gertak sambal terasi takut pedisdonal trump,-1,Negatif
iran embargo makan kenyang selat hormuz ditutup seminggu amerika serikat kelaparan kelabakan,1,Positif
manusia iblis warga civil tembakin bersenjata,0,Netral
pembantu israel susah berbuat adil israel diperbolehkan nuklir israel biang kerok timur israel pembunuh penjajah sombong dimuka bumi israel pembantai warga palestina warga gaza amerika serikat melindungi israel,-3,Negatif
kpl amerika serikat israel hancurkan takut sloh bersamanu,0,Netral
amerika kotoran binatang alias kepercayaan,-1,Negatif
donald bebek alias trump gila sinting setres otaknya waras,-2,Negatif
negaea menyibuk,-1,Negatif
berani amerika serikat melawan cina lawan iran kocar kacir melawan cina dasar donald bebek,0,Netral
iranajak keja kartel mexico veneswela kuba menghajar donald bebek sekutunya mamarica gila dimusnahkan rakyatnya cepat lengser,0,Netral
israel nembakin palestine negaranya perang iransmg iran membumi hanguskan israel kejam teroris dunia,-2,Negatif
gencatan senjata iran amerika serikat israel,0,Netral
how long world will keep quite american terrorism,0,Netral
tenggelamkan kapal amerika sekutunya kasih ampun,-1,Negatif
donald trump manusia berontak babi,0,Netral
ancaman donald bebek bak kentut disiang,-2,Negatif
lndonesia mahu berteman bersekutu amerika serikat lsraelnegara menjauh,-3,Negatif
prabowo perintahka tni dukun iran amerika melangga konstitusi pbb semoga amerrika dikucilkan dunia dihapus peta duni gempur pasukan pbb dunia,-3,Negatif
alhamdulillah iran melawan arogansi amerika semoga allah mberikan kuatan perlidungan negara iran pendukung iran negara muslim dunia amin,4,Positif
tembak iran kapal amerika biar mampus tenggelam tembak kapal melanggar tenggekamkan mulut sampah trump bau busuk allahu akbar,-10,Negatif
babi zionus berani awam puak laknatullah pengecut,-1,Negatif
zionis mwmang babi bangsatzionis wajib dihancurkn muka bumi,-2,Negatif
babi teunm bodoh wajib mampus,-3,Negatif
donald kalah kalah,-2,Negatif
persentai warga palistina,0,Netral
amerika serikat israel beraninya perempuan bersenjata anak jntan perempuan ktimbang israel,-1,Negatif
amerika serikat donald anjing menang negara bantu sirewel yahudi israel negara bantu iran amerika serikat israel nuklir negara lsin baabi,-1,Negatif
amerika serikat keroyok yuk,1,Positif
trump maunya iran bikin bolu kukus bikin nukhlier,-1,Negatif
kelakuan trump bedanya anak ingusan malu trump gila benaran,-1,Negatif
kenyamanan negara iran arab menundukkan amerika jalan,0,Netral
hancurkan kapal kapal amerika kasih maju sejengkal amerika israel,-2,Negatif
iran semoga negara menghajar us israel,0,Netral
amerika serikat kembangkan sejata nuklir amerika serikat israel senjata nuklir,0,Netral
wargaa duniiaa nehosuasi ddn bisniissnggak bisniisskevuali sjteeknya amerika,0,Netral
iran gentar gertakan amerika serikat habisi kapal amerika serikat mencampuri kedaatan iran,-1,Negatif
dunia embargo panik iran embargo kejahatan kelangsungan hidup trump israel penjahat perang dunia menghukum,-2,Negatif
dasar isriwil pengecut braninya tembaki rkyt palestina iran bantai rkyt isriwil,-1,Negatif
ayo iran china tunjukkan srigala asia lawan amerika serikat israel teroris duniamereka iblis berwujud manusia,2,Positif
donol dah pikun klituh,-2,Negatif
berita hoax,-2,Negatif
dharus hancur israel kafir hancurkan allah disamping,1,Positif
iblis trump omon dijadikan musuh paus paulus pimpinan agama trump beragama bertuhan berani melawan pimpinan agama iran menghormati paus paulus trump iblis laknat sebentar trump penjara iran manang perang,-9,Negatif
trump salahselat hormuz wilayah iran a si merampas hak bodoh kali kau trump,-1,Negatif
cina negara bodoh sabar harga negara utama bodoh,2,Positif
presiden amerika tarif pajak negara negara bodoh diamiran nutup selat hormuz negara negara bodoh terima negara bodoh injak negara adidaya,1,Positif
bodoh negara jajirah srsb mengasih pangkalan militer amerika serikat,0,Netral
takuik jo gertak gaek tuo cina kirim taruih bantuan sanjato iran gaek trump ciek angoknyo,0,Netral
semoga iran ratakan israel,0,Netral
tentara israel pengecut beraninya rakyat,0,Netral
