stopword removal,Score_Positif,Score_Negatif,Sentiment,Score
amerika bangsa teroris cudang rampok amerika jahat genosida teroris,1,-3,Negatif,-2
atur amerika teroris sembah patung bangsa jahat kafir amerika jahat,1,-3,Negatif,-2
amerika israel jahat selat hormuz milik laut iran islam sia,1,-3,Negatif,-2
amerika israel terois genosida jahat dunia adlah bangsa amerika israel teroris genosida,1,-3,Negatif,-2
tutup permanen biar negara sekutu amerika israel akibat,1,-1,Netral,0
inti dunia amanamerika hapus peta duniasoal israil keos,1,-1,Netral,0
perang dukung negara olah olah iran musuh negara presiden doyan perang,4,-3,Positif,1
iran henti nuklir produksi nuklir iran tuntut amirika hancur iran serang hancur amerika,1,-1,Netral,0
hancur amerika tembak kapalas,1,-1,Netral,0
allah jahanam tentera israil negara,1,-1,Netral,0
china takut ancam amerika serikat,1,-3,Negatif,-2
tipu daya amerika tipu amerika terlebeh angkat kaki iran angkat kaki tanah air minyak milik jranjangan tentera amerika darat allahu akbar allahu akbar allahuakbar,1,-2,Negatif,-1
dunia isi pngghuninya prikmanusiaanbangunlah belalah brada posisi bnar takut mati dmi pradaban kmanusiaan,1,-3,Negatif,-2
dasar iblis trlau mnghayal,1,-3,Negatif,-2
maudamai donald bebek bohong dunia negara islam tunduk donald bebek donald bebek bohong,1,-2,Negatif,-1
isreal anjing,1,-1,Netral,0
lenyap jajah israel amerika darat pentagon jihad musnah jajah biadab,1,-2,Negatif,-1
donald tahi,1,-1,Netral,0
donald tahi,1,-1,Netral,0
tembak degal hantar rokit drom puluh drom,1,-1,Netral,0
runding amerika curang,1,-3,Negatif,-2
sikat israel usir palestina,1,-1,Netral,0
amerika produksi an,1,-1,Netral,0
nyala iran tahan daulat negara cina takut amerika terimakasih cina rusia korut,1,-3,Negatif,-2
donald trump gertak sambal terasi takut pedisdonal trump,1,-3,Negatif,-2
iran embargo makan kenyang selat hormuz tutup minggu amerika serikat lapar laba,2,-1,Positif,1
manusia iblis warga civil tembakin senjata,1,-3,Negatif,-2
bantu israel susah adil israel nuklir israel biang kerok timur israel bunuh jajah sombong muka bumi israel bantai warga palestina warga gaza amerika serikat lindung israel,2,-2,Netral,0
kpl amerika serikat israel hancur takut sloh bersamanu,1,-3,Negatif,-2
amerika kotor binatang alias percaya,1,-2,Negatif,-1
donald bebek alias trump gila sinting tres otak waras,1,-2,Negatif,-1
negaea sibuk,1,-2,Negatif,-1
berani amerika serikat lawan cina lawan iran kocar kacir lawan cina dasar donald bebek,3,-2,Positif,1
iranajak keja kartel mexico veneswela kuba hajar donald bebek sekutu utama mamarica gila musnah rakyat cepat lengser,1,-2,Negatif,-1
israel nembakin palestine negara perang iransmg iran bumi hangus israel kejam teroris dunia,1,-4,Negatif,-3
gencat senjata iran amerika serikat masuk israel,1,-2,Negatif,-1
how long world will keep quite american terrorism,1,-1,Netral,0
tenggelam kapal amerika sekutu kasih ampun,1,-2,Negatif,-1
donald trump manusia berontak babi,1,-1,Netral,0
ancam donald bebek bak kentut siang,1,-1,Netral,0
lndonesia mahu teman sekutu amerika serikat lsraelnegara,2,-1,Positif,1
prabowo perintahka tni dukun iran amerika melangga konstitusi pbb moga amerrika kucil dunia hapus peta duni gempur pasu pbb dunia,1,-1,Netral,0
alhamdulillah iran lawan arogansi amerika moga allah mberikan kuat perlidungan hadap negara iran dukung iran negara muslim dunia amin,4,-2,Positif,2
tembak iran kapal amerika biar mampus tenggelam tembak kapal langgar tenggekamkan mulut sampah trump bau busuk allahu akbar,1,-3,Negatif,-2
babi zionus berani awam puak laknatullah kecut,3,-1,Positif,2
zionis mwmang babi bangsatzionis wajib dihancurkn muka bumi,1,-1,Netral,0
babi teunm bodoh wajib mampus,1,-2,Negatif,-1
donald kalah kalah,1,-1,Netral,0
senta warga palistina,1,-1,Netral,0
amerika serikat israel berani perempuan senjata anak jntan perempuan ktimbang israel,3,-2,Positif,1
amerika serikat donald anjing menang negara bantu sirewel yahudi israel negara bantu iran amerika serikat israel nuklir negara lsin baabi,2,-1,Positif,1
amerika serikat keroyok yuk,1,-1,Netral,0
trump iran bikin bolu kukus bikin nukhlier,1,-1,Netral,0
laku trump beda anak ingus malu trump gila,1,-3,Negatif,-2
nyaman negara iran arab tunduk amerika jalan,2,-2,Netral,0
hancur kapal kapal amerika kasih maju jengkal amerika israel,1,-1,Netral,0
iran moga negara hajar us israel,1,-1,Netral,0
amerika serikat kembang sejata nuklir amerika serikat israel senjata nuklir,1,-2,Negatif,-1
wargaa duniiaa nehosuasi ddn bisniissnggak bisniisskevuali sjteeknya amerika,1,-1,Netral,0
iran gentar gertak amerika serikat habis kapal amerika serikat campur kedaatan iran,1,-1,Netral,0
dunia embargo panik iran embargo jahat hadap langsung hidup trump israel jahat perang dunia hukum,1,-3,Negatif,-2
dasar isriwil kecut braninya tembak rkyt palestina iran bantai rkyt isriwil,1,-1,Netral,0
ayo iran china srigala asia lawan amerika serikat israel teroris duniamereka iblis wujud manusia,1,-3,Negatif,-2
donol dah pikun klituh,1,-2,Negatif,-1
berita hoax,1,-1,Netral,0
dharus hancur israel kafir hancur allah samping,1,-1,Netral,0
iblis trump omon musuh masuk paus paulus pimpin agama trump agama tuhan berani lawan pimpin agama iran hormat paus paulus trump iblis laknat sebentar trump penjara iran manang perang,3,-3,Netral,0
trump salahselat hormuz wilayah iran a si rampas hak bodoh kali kau trump,2,-2,Netral,0
cina masuk negara bodoh sabar harga negara utama bodoh,2,-2,Netral,0
presiden amerika tarif pajak negara negara bodoh amir nutup selat hormuz negara negara bodoh terima negara bodoh injak negara adidaya,2,-2,Netral,0
bodoh negara jajirah srsb asih pangkal militer amerika serikat,1,-2,Negatif,-1
takuik jo gertak gaek tuo cina kirim taruih bantu sanjato iran gaek trump ciek angoknyo,1,-1,Netral,0
moga iran israel,1,-1,Netral,0
tentara israel kecut berani rakyat,3,-1,Positif,2
trump bilang perang menang lawan iran trump waras trump pasuk rumah sakit jiwa trump,2,-3,Negatif,-1
donaltrump sok kuasa sok atur negara atur donaltrump ancam makzulkantpi sombong cocok banget trump penjara,4,-2,Positif,2
bravo iran,1,-1,Netral,0
goblog israel jaja insyaallah hancur,1,-1,Netral,0
donald bebek serakah,1,-1,Netral,0
ayo iran tolong sipil palestina tembak zionis israel moga rudal selesai persoalanpersoalan,1,-1,Netral,0
pbb tiada gunanyapbb negaratapi israel seja americabagus paya nama pbb bikin kotor seja negara,1,-2,Negatif,-1
mantap iran sabotase ekonomi amerika serikat bangkrut tinggal tutup selat hormuz beres khusus dukung amerika serikat israel tenggelam bravo iran china,4,-3,Positif,1
tutup israel,1,-1,Netral,0
gila menang,2,-2,Netral,0
iran cepat senjata nuklir jihad,1,-2,Negatif,-1
amerika pasok sejata ukraina perang rusia,1,-3,Negatif,-2
juang iran,1,-1,Netral,0
dunia kecam tindak memerika dang rewel indonesia kerjasama latih garuda shield potensi ruang udara indonesia hebat hebat malu,4,-3,Positif,1
salut iran biar amerika timur,2,-1,Positif,1
amerika serikat wibawa kuat militer pangkal militer alut sista pers hancur lebur rudal iran amerika serikat amerika serikat hancur lebur israel,1,-1,Netral,0
asengsmbil emas papua tarif pajak ri tuju menteri jabat tuju,2,-2,Netral,0
amerika serikat tarif dunia perang iran dunia global diam bayar mahal gilir iran terap hormuze bayar amerika serikat terima dunia teriak coba hormuze israel amerika serikat suruh bayar,2,-3,Negatif,-1
amerika serikat lenyap iran selat hormuz hususnya timur iran dana teroris timur,1,-3,Negatif,-2
ayo china hancur amerika peras minyak timur,1,-1,Netral,0
allohuakbar kali hasbunallohu wani maal wakkil shalalloh alla muhammad shalalloh allaihiwassallam alfatihah kali insyaa allah menang unggul strong pasu republik islam iran group tumpas hangus teroris yahudi nasrani israel amerika group pasu cecurut tikus gosong remuk nyungsep alhamdulillah amin rabbal allamiin,4,-3,Positif,1
hati hati iran amerika serikat hubung rambo,1,-1,Netral,0
kasihan libanon rudal tahan udara,1,-3,Negatif,-2
rakus bangsa amerika usir jajah timur setan nyahu usir,1,-4,Negatif,-3
israel laknatullah jahanam,1,-1,Netral,0
diplomasi amerika menghianati sepakat iran menlucuti nuklir amerika serang habis habis contoh negara irak pimpin sadam hoseinsetelah lucut senjata bumi hangus negara yahudi amerika israel haya tunduk elit global pimpin dazal hidup president amerika tunduk perintah elit global habis amerika sikeras utuk laku diplomasi strategi tipu daya,1,-2,Negatif,-1
us ribu pulang tinggal moga bukti allahu akbar allahu akbar allahu akbar allhamdulillah,1,-1,Netral,0
support iran,1,-1,Netral,0
takut tembak kapal zionis dasar tentara bodoh tipu donald bebek iblis bodoh kau tentara amrikmati sia kau iran,1,-3,Negatif,-2
jaga damai tni,1,-1,Netral,0
iran menang babak belursok sok ancam daya tutup bohong,2,-2,Netral,0
sifat profosionalnya tentara iblis berani lawan warga senjata coba lawan senjata mampus iblis,3,-3,Netral,0
rakyat amerika tunggu hancurkn,1,-1,Netral,0
rakyat amerika maju lantik president lemah,1,-2,Negatif,-1
cina beda cina cina alat tempur cangih amerika kacam cina mengharapakan hancur,1,-2,Negatif,-1
welcome perang dunia,1,-3,Negatif,-2
persiden tolol dunia bebek,1,-3,Negatif,-2
masik lumayan kasih,1,-1,Netral,0
resiko pilih pimpin pikun,1,-2,Negatif,-1
nyata adil bukti mantap,2,-1,Positif,1
hey iransegera bangun senjata nuklir terlambatajar us israel,2,-2,Netral,0
hry warga nablosdi abbas barua us hammas ganggu israel zionis,1,-1,Netral,0
trump anggap fir aunatau fir aun,1,-1,Netral,0
memange wilayah amerika serikat,1,-1,Netral,0
trumps anak haram omong sera,1,-4,Negatif,-3
pbb israel nyata serang rakyat sipil lindung israel berani tindak,3,-1,Positif,2
iran ragu takut hadap ancam amerika serikat mnciptakn nuklir klopn iran dlarang mnciptakn nuklir ut amerika serikat larang ut mmbuat nuklir amerika serikat mlakukan nuklir dbilng adil,2,-3,Negatif,-1
amerika serikat percaya ancam kchina skuku matipn china ragu takut hadap ancam amerika serikat rakyat indonesia dukung super china ut ancam china,4,-3,Positif,1
seru ayo perang nukrir biar seru biar perang dunia kaya sugesti doang,3,-3,Netral,0
donald dobol dajjal trump libas warga rakyat muak ulah zholim sepak terjang soksokan donald looser trump timbul krisis ekonomi,1,-3,Negatif,-2
donald tres menang amerika serikat menang,2,-1,Positif,1
bravo iraaaaaaaan allah subhana wataallaa negara iraaaaaan allah subhana wataallaa kasih keazaiban negara iraaaan kuat negara iraaaan kuat penuh negara iraaaan aammiin allahumma amin bravo iraaaaan,1,-2,Negatif,-1
tangkap trump netanyahu usak damai dunia ayo pbb dekrit pbb amerika hancur israel,1,-1,Netral,0
congor trump busukhadapi iran kencing lawan cina,1,-3,Negatif,-2
trump odgj,1,-1,Netral,0
allah lindung iran tentara,1,-1,Netral,0
moga rudal iran nyasar tarim biar imigran cucu nabi indonesia,1,-1,Netral,0
bravoiran tentara zionis israel usir plastina and gaza rakyat plastina and gaza kompak dgan hamas lawan tentara duduk israel babi inyah plastina and gaza amin,1,-2,Negatif,-1
donald cumak nakut nakuti,1,-1,Netral,0
allahu akbar maju pantang mundur islam abad hancur negara yahudi akar pantang negosiasi,1,-2,Negatif,-1
iran ambisi nuklir tekan leceh ancam wajar iran nuklir,1,-2,Negatif,-1
iran hujan jajah babi trump amerika jajah zionis iblis israel setan yahok laknatullah rudal drone darat tanah iran jajah babi trump umpan hiu,1,-4,Negatif,-3
aneh negara muslim diam bantu negara arabsetanyahu donald bebek jahat perangko dukung indonesia bangga negara cina rusiajg korutwalaupun mayoritas muslim dukung juang iran negara iran bantu juang rakyat palestina bravo iran,4,-3,Positif,1
mantap iran lawan donald bebek hadap gigih sekutu,1,-2,Negatif,-1
amerika serikat blokir hormuz arti tindak jajah begal laut serakah takut iri iran jual minyak dunia coba henti pakai keras murni terorisme ampo jalan,2,-3,Negatif,-1
speedboat iran tenggelam usir armada kapal induk mutakhir ashaluuu banget beritanyahanya bodoh percaya,1,-2,Negatif,-1
donalt trump waras,1,-1,Netral,0
tolol kapai ngurusi rumah tangga orrang,1,-3,Negatif,-2
mang laut amerika serikat,1,-1,Netral,0
dunia ameka israel bohong iran negara jajah negara senjata iran bela jajah,1,-2,Negatif,-1
amerika wenang damai nouklir contoh irak sadam husen serang senjata nouklir sekang amerika bohong,1,-2,Negatif,-1
hamas diam,1,-1,Netral,0
hajar ayo iranas mnusia pengecutlewat hncurkn,1,-1,Netral,0
iran takut langsung tembak,1,-3,Negatif,-2
yahudi dasar picik,1,-2,Negatif,-1
indonesia brla iran matimatian kapal pertamina lepas dasar mabuk dah agama,1,-3,Negatif,-2
china rusia bantu iran hancur tenggelam kapalkapal perang amerika serikat selat hormuz,1,-3,Negatif,-2
pikir donald bebek dunia milik pribadi,1,-1,Netral,0
panikresah hyy ancam,1,-1,Netral,0
suhu bebek ntt ntt sajabiar dunia tentramjika tiada dunia tentram damai,1,-1,Netral,0
selat hormz masuk wilayah sia donald bebek sekutu asli sakit jiwa tantang china cegat kapal hrmz,3,-2,Positif,1
trump manusia malu,1,-3,Negatif,-2
merakaa rsk dunia basmi dnl bek sinyahu,1,-1,Netral,0
a si israel jaman canggih jajah negara jahat leceh daulat negara lawan bumi hangus peta bumi resah negara jajah butuh merdeka sejahtera rakyat gempur mampus rakyat internasional tuhan lindung iran rakyat amin kalao pengin dunia damai amerika serikat israel henti jajah contoh palistina derita kekejamanya israel a si israel jahat bumi hangus halal amin,1,-3,Negatif,-2
takut mulut trumpcina takut,1,-3,Negatif,-2
presiden ogdj pilih seprti,1,-1,Netral,0
